id,name,calories,feedback
0,가지볶음,70,수분 함량이 높고 칼로리가 낮아 다이어트 식단에 적합해요!
1,간장게장,150,단백질은 좋지만 염분이 높으니 운동 전후 부종을 주의하세요.
2,갈비구이,350,고단백이지만 지방도 많아요. 오늘 하체 운동 강도를 높여볼까요?
3,갈비찜,450,단백질 보충에 좋으나 양념의 당질이 높으니 적당량 섭취하세요.
4,갈비탕,450,운동 후 근회복에 좋지만 국물보다는 건더기 위주로 드세요.
5,갈치구이,200,질 좋은 단백질원입니다! 근성장에 아주 도움이 되는 식단이에요.
6,갈치조림,250,매콤한 양념의 나트륨 배출을 위해 물을 충분히 마셔주세요.
7,감자전,180,운동 전 탄수화물 보충으로 좋지만 기름기 때문에 소화에 주의하세요.
8,감자조림,120,복합 탄수화물로 운동 에너지를 내기에 적당한 반찬입니다.
9,감자채볶음,110,에너지 대사를 돕는 탄수화물입니다. 적당히 드시면 에너지가 쑥쑥!
10,감자탕,500,고칼로리 식단! 오늘 웨이트 트레이닝 세트 수를 늘려보세요.
11,갓김치,40,유산균과 식이섬유가 풍부해요. 식단의 풍미를 더해주는 좋은 반찬!
12,건새우볶음,150,칼슘과 단백질이 풍부해 뼈 건강과 근육에 좋은 간식형 반찬입니다.
13,경단,220,단당류 탄수화물입니다. 운동 직후 빠른 에너지 보충에만 추천해요.
14,계란국,60,저칼로리 고단백 국물 요리로 운동 중 가벼운 식사에 딱입니다.
15,계란말이,180,대표적인 단백질 반찬! 근성장을 위해 꼭 챙겨 드세요.
16,계란찜,130,부드러운 단백질 섭취원입니다. 소화가 잘 되어 운동 전후로 좋아요.
17,계란후라이,100,간편한 단백질 보충제! 기름을 적게 쓰면 더 완벽한 식단입니다.
18,고등어구이,300,불포화지방산이 풍부해 염증 억제와 근육 회복에 탁월합니다.
19,고등어조림,350,오메가-3와 단백질이 풍부한 식단. 양념의 나트륨은 조심!
20,고사리나물,60,식이섬유가 풍부해 포만감을 줍니다. 다이어트 시 강력 추천!
